
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    172.16.61.108:49597    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49605    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49606    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49608    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49609    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49610    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49615    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49616    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49617    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49619    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49620    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49625    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49626    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49627    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49628    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49631    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49632    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49634    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49635    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49640    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49642    KBOX:52230             ESTABLISHED     2636
  TCP    172.16.61.108:49644    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49645    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49646    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49648    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49649    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49652    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49654    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49655    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49658    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49661    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49662    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49663    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49664    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49667    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49668    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49669    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49671    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49672    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49675    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49676    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49677    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49678    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49679    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49681    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49682    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49683    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49684    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49687    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49688    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49690    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49691    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49692    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49693    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49696    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49699    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49700    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49701    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49702    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49703    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49705    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49706    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49710    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49711    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49712    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49715    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49717    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49718    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49722    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49724    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49725    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49727    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49730    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49734    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49738    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49745    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49746    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49747    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49749    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49751    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49752    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49753    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49755    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49756    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49760    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49762    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49763    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49764    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49766    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49768    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49770    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49773    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49775    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49776    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49779    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49781    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49785    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49790    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49793    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49794    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49796    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49798    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49799    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49800    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49803    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49805    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49806    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49807    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49808    KBOX:https             CLOSE_WAIT      3212
